index,TR23 0PR,\N,None,\N.1,\N.2,\N.3,87897,15021,49.953605,-6.352647
44566,TQ3 3JN,\N,None,\N,\N,\N,288363,60465,50.43339,-3.573238
44567,TQ3 1QQ,\N,None,\N,\N,\N,288363,61764,50.445068,-3.573625
44568,TQ3 3BY,\N,None,\N,\N,\N,288365,60888,50.437193,-3.573336
81574,L37 6WS,\N,None,\N,\N,\N,329643,407175,53.556463,-3.063541
81575,L37 7AA,\N,None,\N,\N,\N,329643,407175,53.556463,-3.063541
81576,L37 7JA,\N,None,\N,\N,\N,329643,407175,53.556463,-3.063541
81577,L37 7JZ,\N,None,\N,\N,\N,329643,407175,53.556463,-3.063541
81578,L37 7WF,\N,None,\N,\N,\N,329643,407175,53.556463,-3.063541
81579,L37 7WJ,\N,None,\N,\N,\N,329643,407175,53.556463,-3.063541
81580,L37 7WQ,\N,None,\N,\N,\N,329643,407175,53.556463,-3.063541
81581,L37 7WT,\N,None,\N,\N,\N,329643,407175,53.556463,-3.063541
81582,L37 7ZX,\N,None,\N,\N,\N,329643,407175,53.556463,-3.063541
81583,L37 8WA,\N,None,\N,\N,\N,329643,407175,53.556463,-3.063541
81584,L38 0WX,\N,None,\N,\N,\N,329643,407175,53.556463,-3.063541
81585,CH43 8TN,\N,None,\N,\N,\N,329644,388837,53.391661,-3.059412
81586,CH41 7BP,\N,None,\N,\N,\N,329644,389943,53.401618,-3.059658
81587,EX13 5AQ,\N,None,\N,\N,\N,329645,98436,50.781214,-2.999304
81588,TA6 3NR,\N,None,\N,\N,\N,329646,136898,51.127023,-3.006736
81589,EX13 5NP,\N,None,\N,\N,\N,329647,98583,50.782535,-2.999303
81590,SY11 2PR,\N,None,\N,\N,\N,329647,329549,52.858813,-3.046341
81591,SY11 2JZ,\N,None,\N,\N,\N,329647,329641,52.85964,-3.04636
81592,CH43 6UJ,\N,None,\N,\N,\N,329647,388316,53.386979,-3.05925
81593,DT7 3XZ,\N,None,\N,\N,\N,329648,91261,50.716702,-2.997888
81594,TA8 2SE,\N,None,\N,\N,\N,329648,155427,51.293608,-3.010347
81595,HR5 3UE,\N,None,\N,\N,\N,329648,256484,52.202076,-3.030827
81596,TA6 6EF,\N,None,\N,\N,\N,329649,135818,51.117313,-3.006482
81597,L37 3HE,\N,None,\N,\N,\N,329649,407513,53.559501,-3.063526
81598,LA12 9RD,\N,None,\N,\N,\N,329649,473993,54.15691,-3.078789
81599,EX13 5AG,\N,None,\N,\N,\N,329650,98401,50.780899,-2.999226
81600,CH43 7RS,\N,None,\N,\N,\N,329650,389836,53.40064,-3.059545
81601,TA5 2BH,929242,Low,County to Town,22/12/2013,No,329651,139223,51.147927,-3.007119
81602,CH64 4AE,\N,None,\N,\N,\N,329651,376754,53.283071,-3.056618
81603,CH64 9RX,\N,None,\N,\N,\N,329651,376971,53.285021,-3.056666
81604,L37 7HS,\N,None,\N,\N,\N,329652,408125,53.565001,-3.063619
81605,CH43 9SX,\N,None,\N,\N,\N,329653,387921,53.38343,-3.059072
81606,CH44 2EQ,\N,None,\N,\N,\N,329653,391546,53.416008,-3.059882
81607,L37 7DZ,\N,None,\N,\N,\N,329653,408851,53.571542,-3.063765
81608,TA6 3LL,\N,None,\N,\N,\N,329654,136815,51.126277,-3.006605
81609,SY11 1UF,\N,None,\N,\N,\N,329654,330483,52.867209,-3.046439
81610,TA6 3TN,1684337,Medium,County to Town,22/12/2013,No,329655,138192,51.138658,-3.00686
81611,CH64 4AD,\N,None,\N,\N,\N,329655,376554,53.281274,-3.056514
81612,CH64 9XZ,\N,None,\N,\N,\N,329655,377677,53.291366,-3.056763
81613,L37 4AP,\N,None,\N,\N,\N,329655,406937,53.554325,-3.063306
81614,TA6 3EN,\N,None,\N,\N,\N,329656,137027,51.128184,-3.006618
81615,CH64 4AJ,\N,None,\N,\N,\N,329656,376471,53.280528,-3.056481
81616,CH43 6XE,\N,None,\N,\N,\N,329656,388597,53.389506,-3.059178
81617,EX13 5JF,\N,None,\N,\N,\N,329657,98342,50.78037,-2.999115
81618,EX13 5NR,\N,None,\N,\N,\N,329657,98572,50.782438,-2.99916
81619,TA6 3LJ,\N,None,\N,\N,\N,329657,136852,51.126611,-3.00657
81620,TA8 2NL,\N,None,\N,\N,\N,329657,152373,51.266153,-3.009616
81621,CH41 0DZ,\N,None,\N,\N,\N,329657,389323,53.39603,-3.059325
81622,L37 6AE,\N,None,\N,\N,\N,329657,406522,53.550596,-3.063182
81623,TA7 0BA,\N,None,\N,\N,\N,329658,130892,51.073026,-3.005392
81624,TA6 3JB,1684337,Medium,County to Town,22/12/2013,No,329658,138086,51.137705,-3.006797
81625,SY11 1EY,\N,None,\N,\N,\N,329658,330364,52.86614,-3.046353
81626,CH41 0DH,\N,None,\N,\N,\N,329658,389169,53.394647,-3.059275
81627,EX13 5JG,720587,Low,County to Town,12/05/2011,No,329661,98279,50.779804,-2.999047
81628,CH41 0EA,\N,None,\N,\N,\N,329661,389501,53.397631,-3.059304
552305,WF17 8DN,\N,None,\N,\N,\N,422554,424975,53.720701,-1.659696
552306,BD11 1JB,\N,None,\N,\N,\N,422554,428407,53.751547,-1.659447
552307,DL4 1ES,\N,None,\N,\N,\N,422554,526750,54.635375,-1.652108
552308,DL4 1ET,\N,None,\N,\N,\N,422554,526859,54.636355,-1.6521
552309,DH7 7ET,\N,None,\N,\N,\N,422554,541710,54.769821,-1.650968
552310,WF13 3UY,\N,None,\N,\N,\N,422555,422207,53.695822,-1.659881
552311,WF13 4QJ,\N,None,\N,\N,\N,422555,422690,53.700163,-1.659846
552312,LS13 1DB,\N,None,\N,\N,\N,422555,435312,53.813608,-1.658929
552313,HG4 3PN,\N,None,\N,\N,\N,422555,470656,54.131263,-1.656327
552314,NE3 2SE,\N,None,\N,\N,\N,422555,569045,55.015448,-1.648813
552315,CV35 7HR,\N,None,\N,\N,\N,422556,267778,52.307658,-1.670596
552316,B77 2NR,\N,None,\N,\N,\N,422556,301707,52.612674,-1.668314
552317,NE4 9UT,\N,None,\N,\N,\N,422556,565540,54.983952,-1.649072
552318,SP5 3RT,\N,None,\N,\N,\N,422557,127843,51.049496,-1.679578
552319,SN8 3BS,\N,None,\N,\N,\N,422557,160689,51.344841,-1.677525
552320,B77 5FH,\N,None,\N,\N,\N,422557,300846,52.604934,-1.668357
552321,WF13 4PP,\N,None,\N,\N,\N,422557,423062,53.703507,-1.659789
552322,DL4 1LH,\N,None,\N,\N,\N,422557,525546,54.624555,-1.652154
552323,DL14 8SR,\N,None,\N,\N,\N,422557,527920,54.645889,-1.651972
552324,DH7 7EJ,\N,None,\N,\N,\N,422557,541585,54.768689,-1.65092
552325,NE61 6UN,\N,None,\N,\N,\N,422557,587304,55.179521,-1.647341
552326,B77 2PB,\N,None,\N,\N,\N,422558,301307,52.609078,-1.668311
552327,WF13 4RL,\N,None,\N,\N,\N,422558,422845,53.701556,-1.659789
552328,NE3 4QX,\N,None,\N,\N,\N,422558,567213,54.998986,-1.648909
552329,B77 5JP,\N,None,\N,\N,\N,422559,299849,52.595972,-1.668395
552330,DE14 3JF,1103470,Low,County to Town,22/12/2013,No,422559,321693,52.792338,-1.666905
552331,WF17 9NP,\N,None,\N,\N,\N,422559,426039,53.730279,-1.659546
552332,DL10 6SB,\N,None,\N,\N,\N,422559,505887,54.447886,-1.653621
552333,NE3 2DH,\N,None,\N,\N,\N,422559,569708,55.021406,-1.648698
552334,SP5 3RY,\N,None,\N,\N,\N,422560,128145,51.052212,-1.679517
552335,GL56 9NU,43127,High,County to Town,01/08/2009,Yes,422560,236469,52.026181,-1.672608
552336,DL10 6PY,\N,None,\N,\N,\N,422560,505720,54.446385,-1.653619
552337,DL4 1JD,\N,None,\N,\N,\N,422560,526100,54.629534,-1.652065
552338,NE4 9HE,\N,None,\N,\N,\N,422560,564636,54.975829,-1.64908
552339,B77 5HD,\N,None,\N,\N,\N,422561,301202,52.608134,-1.668274
552340,HD8 9AW,\N,None,\N,\N,\N,422561,410157,53.587516,-1.66066
552341,WF13 3EY,1196495,Low,County to Town,22/12/2013,No,422561,420460,53.68012,-1.659917
552342,LS28 8SA,\N,None,\N,\N,\N,422561,432293,53.786473,-1.659058
552343,DL10 7SL,\N,None,\N,\N,\N,422561,499721,54.392473,-1.654057
552344,DL14 8RJ,\N,None,\N,\N,\N,422561,528888,54.654588,-1.651836
552345,NE4 8SP,\N,None,\N,\N,\N,422561,564323,54.973016,-1.649089
552346,NE4 9BH,\N,None,\N,\N,\N,422561,565276,54.98158,-1.649014
552347,NE61 6LU,\N,None,\N,\N,\N,422561,584215,55.151764,-1.647523
552348,WF13 3TG,\N,None,\N,\N,\N,422562,422068,53.694572,-1.659785
552349,WF13 4BS,\N,None,\N,\N,\N,422562,423250,53.705196,-1.659699
552350,WF16 0DU,\N,None,\N,\N,\N,422562,423670,53.708971,-1.659669
552351,WF16 0DX,\N,None,\N,\N,\N,422562,423704,53.709277,-1.659667
552352,BD11 1NF,\N,None,\N,\N,\N,422562,429207,53.758753,-1.659271
552353,LS28 9ET,\N,None,\N,\N,\N,422562,432636,53.789556,-1.659018
552354,LS28 7AX,\N,None,\N,\N,\N,422562,433744,53.79953,-1.658941
552355,HG4 4JD,\N,None,\N,\N,\N,422562,480519,54.219904,-1.655485
552356,DL10 7GA,\N,None,\N,\N,\N,422562,500244,54.397173,-1.654002
552357,DH7 6EF,93741,High,County to Town,01/08/2009,Yes,422562,549510,54.839905,-1.650228
552358,NE4 9DN,\N,None,\N,\N,\N,422562,565409,54.982775,-1.648988
552359,B77 3JT,\N,None,\N,\N,\N,422563,303621,52.62988,-1.66808
552360,BD11 1EN,\N,None,\N,\N,\N,422563,428777,53.754872,-1.659283
552361,LS28 9LW,\N,None,\N,\N,\N,422563,432088,53.784631,-1.659042
552362,DH7 7JD,\N,None,\N,\N,\N,422563,541271,54.765867,-1.650851
552363,HD8 8QQ,\N,None,\N,\N,\N,422564,408080,53.568847,-1.660764
552364,WF12 0NU,\N,None,\N,\N,\N,422564,416608,53.645498,-1.66015
552365,DH7 7PL,\N,None,\N,\N,\N,422564,542763,54.779274,-1.65072
552366,NE4 9HT,\N,None,\N,\N,\N,422564,565003,54.979133,-1.649002
552367,NE61 3LU,\N,None,\N,\N,\N,422564,589158,55.19618,-1.647084
552368,WF17 8AY,\N,None,\N,\N,\N,422565,425467,53.725122,-1.659493
552369,BD11 1HA,\N,None,\N,\N,\N,422565,428674,53.753946,-1.65926
552370,CV37 7RW,\N,None,\N,\N,\N,422566,254419,52.187572,-1.671327
552371,CV7 7PL,\N,None,\N,\N,\N,422566,282425,52.439349,-1.669461
552372,DE14 2WQ,1757664,Medium,County to Town,22/12/2013,No,422566,322510,52.799682,-1.666745
552373,DL10 7PW,\N,None,\N,\N,\N,422566,496073,54.359699,-1.654263
552374,DL4 1EP,\N,None,\N,\N,\N,422566,526594,54.633973,-1.651934
552375,NE61 6UJ,\N,None,\N,\N,\N,422566,587192,55.178514,-1.647209
552376,CV37 0NX,\N,None,\N,\N,\N,422567,257761,52.217603,-1.671101
552377,B77 3HH,\N,None,\N,\N,\N,422567,303737,52.630923,-1.668013
552378,LS28 7AU,\N,None,\N,\N,\N,422567,433819,53.800189,-1.658856
552379,LS13 1JJ,\N,None,\N,\N,\N,422567,436235,53.821903,-1.658679
552380,DL10 7TN,\N,None,\N,\N,\N,422567,500390,54.398485,-1.653914
552381,B77 2BZ,\N,None,\N,\N,\N,422568,303374,52.62766,-1.668023
552382,B77 2DD,\N,None,\N,\N,\N,422568,303423,52.6281,-1.66802
552383,DE14 2BD,\N,None,\N,\N,\N,422568,323703,52.810406,-1.666634
552384,BD11 1HX,\N,None,\N,\N,\N,422568,428215,53.749821,-1.659248
552385,DH7 7EN,\N,None,\N,\N,\N,422568,541605,54.768868,-1.650747
552386,NE13 7GB,\N,None,\N,\N,\N,422568,572437,55.045928,-1.648343
552387,NE61 3LS,\N,None,\N,\N,\N,422568,588815,55.193098,-1.647048
552388,GL56 0XG,\N,None,\N,\N,\N,422569,225671,51.9291,-1.673183
552389,B77 3HE,\N,None,\N,\N,\N,422569,303849,52.63193,-1.667976
552390,BD11 1HU,\N,None,\N,\N,\N,422569,428184,53.749542,-1.659235
552391,NE3 4LP,\N,None,\N,\N,\N,422569,567558,55.002086,-1.64871
552392,NE3 2SS,\N,None,\N,\N,\N,422569,569465,55.019222,-1.648561
552393,B77 5AQ,\N,None,\N,\N,\N,422570,301219,52.608304,-1.668132
552394,WF17 9BU,\N,None,\N,\N,\N,422570,427197,53.740671,-1.659292
552395,LS13 1QB,\N,None,\N,\N,\N,422570,436276,53.822271,-1.658631
552396,DL8 1BF,\N,None,\N,\N,\N,422570,493831,54.339539,-1.654363
552397,DL4 1AP,\N,None,\N,\N,\N,422570,526484,54.632984,-1.651881
552398,NE4 8SB,\N,None,\N,\N,\N,422570,564106,54.971066,-1.648965
552399,NE4 9DL,\N,None,\N,\N,\N,422570,565360,54.982334,-1.648867
552400,NE3 2SX,\N,None,\N,\N,\N,422570,569358,55.01826,-1.648553
552401,SP4 0DN,41405,High,County to Town,01/08/2009,Yes,422571,142367,51.180094,-1.678474
552402,NE4 8DP,\N,None,\N,\N,\N,422571,563939,54.969565,-1.648963
552403,NE3 4ST,\N,None,\N,\N,\N,422571,567436,55.000989,-1.648689
552404,BH25 6QS,\N,None,\N,\N,\N,422572,94040,50.74553,-1.681443
552405,B46 2RD,\N,None,\N,\N,\N,422572,289174,52.500006,-1.668926
552406,WF4 4BX,\N,None,\N,\N,\N,422572,414379,53.625463,-1.66019
552407,WF13 3SR,\N,None,\N,\N,\N,422572,421807,53.692226,-1.659653
556188,WF17 7HX,\N,None,\N,\N,\N,423395,424219,53.713869,-1.647008
556189,WF17 8HG,\N,None,\N,\N,\N,423395,425184,53.722542,-1.646936
556190,LS13 3LG,\N,None,\N,\N,\N,423395,435233,53.812861,-1.646178
556191,DH7 6TA,\N,None,\N,\N,\N,423395,545723,54.805836,-1.637563
556192,NE3 2LR,\N,None,\N,\N,\N,423395,568982,55.014844,-1.635682
556193,NE13 7BS,\N,None,\N,\N,\N,423395,571975,55.041739,-1.635438
556194,SP9 7SF,\N,None,\N,\N,\N,423396,148463,51.234875,-1.666276
556195,B77 5DN,\N,None,\N,\N,\N,423396,300969,52.606005,-1.65596
556196,WF13 3RT,\N,None,\N,\N,\N,423396,420764,53.682816,-1.647253
556197,WF17 9AE,\N,None,\N,\N,\N,423396,427581,53.744086,-1.64674
556198,LS13 1HH,\N,None,\N,\N,\N,423396,435294,53.813409,-1.646158
556199,DL4 2LJ,\N,None,\N,\N,\N,423396,525407,54.623268,-1.639171
556200,NE4 7BJ,\N,None,\N,\N,\N,423396,563184,54.962743,-1.636137
556201,B77 4BP,\N,None,\N,\N,\N,423397,301738,52.612918,-1.655891
556202,B77 2DG,\N,None,\N,\N,\N,423397,302783,52.622312,-1.655818
556203,DE13 9BP,\N,None,\N,\N,\N,423397,327877,52.847892,-1.654038
556204,LS16 9LF,\N,None,\N,\N,\N,423397,443469,53.886884,-1.645523
556205,DH7 8AD,\N,None,\N,\N,\N,423397,539274,54.747883,-1.638049
556206,NE8 2GP,\N,None,\N,\N,\N,423397,562466,54.956291,-1.63618
556207,SN6 7PS,\N,None,\N,\N,\N,423398,194277,51.646807,-1.663234
556208,LS13 4NP,\N,None,\N,\N,\N,423398,434042,53.802156,-1.646222
556209,DH2 3LS,\N,None,\N,\N,\N,423398,552113,54.863258,-1.637002
556210,NE11 9JX,\N,None,\N,\N,\N,423398,561219,54.945085,-1.636266
556211,NE4 6JR,\N,None,\N,\N,\N,423398,563891,54.969096,-1.636049
556212,NE3 4YS,\N,None,\N,\N,\N,423398,567860,55.004761,-1.635726
556213,SP9 7SB,\N,None,\N,\N,\N,423399,148262,51.233064,-1.666235
556214,CV7 7EY,\N,None,\N,\N,\N,423399,278311,52.402315,-1.657501
556215,WF13 4HY,\N,None,\N,\N,\N,423399,422733,53.700513,-1.647059
556216,DH7 8BN,\N,None,\N,\N,\N,423399,539678,54.751513,-1.637986
556217,DH7 6SQ,\N,None,\N,\N,\N,423399,546078,54.809026,-1.637472
556218,NE11 0HS,\N,None,\N,\N,\N,423399,558159,54.917588,-1.636498
556219,NE13 7NL,\N,None,\N,\N,\N,423399,571890,55.040975,-1.635382
556220,SP9 7SA,\N,None,\N,\N,\N,423400,148242,51.232888,-1.666233
556221,NE8 2GS,\N,None,\N,\N,\N,423400,562536,54.95692,-1.636128
556222,NE3 4YR,\N,None,\N,\N,\N,423400,567767,55.003925,-1.635703
556223,BH25 5GD,\N,None,\N,\N,\N,423401,95813,50.761441,-1.669582
556224,NE4 7HX,\N,None,\N,\N,\N,423401,563100,54.961988,-1.636066
556225,NE13 9DP,\N,None,\N,\N,\N,423401,571171,55.03452,-1.635423
556226,NE13 7DS,\N,None,\N,\N,\N,423401,572664,55.04793,-1.635288
556227,SP9 7SE,\N,None,\N,\N,\N,423402,148356,51.233913,-1.666197
556228,CV35 7LR,\N,None,\N,\N,\N,423402,267609,52.306104,-1.6582
556229,DE14 3HE,1384257,Low,Street to Parcels of land,22/12/2013,No,423402,320865,52.784859,-1.654463
556230,WF13 2LW,\N,None,\N,\N,\N,423402,421739,53.691579,-1.647089
556231,DL14 8XB,\N,None,\N,\N,\N,423402,527768,54.644485,-1.63889
556232,SP9 7JL,\N,None,\N,\N,\N,423403,149595,51.245053,-1.666102
556233,S32 1BZ,\N,None,\N,\N,\N,423403,381709,53.33178,-1.650048
556234,WF17 7DD,\N,None,\N,\N,\N,423403,423552,53.707874,-1.646937
556235,DL4 2EF,\N,None,\N,\N,\N,423403,526172,54.630142,-1.639002
556236,DH7 7NG,\N,None,\N,\N,\N,423403,543024,54.781581,-1.637655
556237,NE13 7HH,\N,None,\N,\N,\N,423403,572449,55.045997,-1.635274
556238,SN8 3AT,\N,None,\N,\N,\N,423404,161397,51.351173,-1.665318
556239,DE14 3FQ,1384257,Low,Street to Parcels of land,22/12/2013,No,423404,321989,52.794963,-1.654354
556240,HD8 9SS,\N,None,\N,\N,\N,423404,412244,53.606237,-1.64777
556241,NE13 7BL,\N,None,\N,\N,\N,423404,572091,55.04278,-1.635288
556242,NE67 5BB,\N,None,\N,\N,\N,423404,629357,55.557346,-1.63054
556243,SN8 3AJ,\N,None,\N,\N,\N,423405,161133,51.348799,-1.665321
556244,CV7 7UH,\N,None,\N,\N,\N,423405,277192,52.392255,-1.657491
556245,B77 4BZ,\N,None,\N,\N,\N,423405,301865,52.614059,-1.655764
556246,HD8 9DN,\N,None,\N,\N,\N,423405,410152,53.587434,-1.647911
556247,HD8 9DZ,\N,None,\N,\N,\N,423405,410705,53.592405,-1.64787
556248,NE3 4JR,\N,None,\N,\N,\N,423405,567259,54.99936,-1.635666
556249,SN4 0FG,\N,None,\N,\N,\N,423406,181167,51.528932,-1.663989
556250,CV36 4PN,\N,None,\N,\N,\N,423406,241994,52.075818,-1.659901
556251,DE6 5JB,\N,None,\N,\N,\N,423406,334874,52.910789,-1.653403
556252,WF13 3RY,\N,None,\N,\N,\N,423406,420750,53.682689,-1.647102
556253,WF17 7SR,\N,None,\N,\N,\N,423406,424008,53.711972,-1.646858
556254,WF17 0JZ,\N,None,\N,\N,\N,423406,426581,53.735098,-1.646664
556255,LS13 1HF,\N,None,\N,\N,\N,423406,435585,53.816024,-1.645984
556256,DH7 7LW,\N,None,\N,\N,\N,423406,542447,54.776396,-1.637655
556257,SP9 7SD,\N,None,\N,\N,\N,423407,148299,51.2334,-1.666129
556258,CV35 7NJ,\N,None,\N,\N,\N,423407,271236,52.33871,-1.657875
556259,HD8 8SR,\N,None,\N,\N,\N,423407,408890,53.576091,-1.647975
556260,WF17 7BQ,\N,None,\N,\N,\N,423407,423113,53.703928,-1.64691
556261,LS13 4TY,\N,None,\N,\N,\N,423407,434346,53.804888,-1.646063
556262,LS13 1HE,\N,None,\N,\N,\N,423407,435497,53.815233,-1.645976
556263,DH7 7RE,\N,None,\N,\N,\N,423407,542838,54.77991,-1.637608
556264,NE4 6QX,\N,None,\N,\N,\N,423407,563631,54.966766,-1.635942
556265,SN8 3BP,\N,None,\N,\N,\N,423408,160781,51.345634,-1.665301
556266,LS18 4SU,\N,None,\N,\N,\N,423408,436905,53.827888,-1.645854
556267,NE11 9SH,\N,None,\N,\N,\N,423408,561559,54.94814,-1.636082
556268,NE13 7HP,\N,None,\N,\N,\N,423408,572262,55.044317,-1.635211
556269,CV7 7QP,\N,None,\N,\N,\N,423409,276707,52.387894,-1.657466
556270,WF13 3RU,\N,None,\N,\N,\N,423409,420684,53.682096,-1.647062
556271,WF13 4HN,\N,None,\N,\N,\N,423409,422455,53.698014,-1.646929
556272,WF17 8HW,\N,None,\N,\N,\N,423409,424943,53.720376,-1.646742
556273,WF17 0NT,\N,None,\N,\N,\N,423409,426316,53.732731,-1.646642
556274,LS18 4PL,\N,None,\N,\N,\N,423409,437313,53.831555,-1.645808
556275,WF17 7BZ,\N,None,\N,\N,\N,423410,423463,53.707073,-1.646838
556276,DE13 9BE,\N,None,\N,\N,\N,423411,327805,52.847244,-1.653835
556277,WF13 4HZ,\N,None,\N,\N,\N,423411,422818,53.701276,-1.646871
556278,WF17 0LA,\N,None,\N,\N,\N,423411,426518,53.734531,-1.646593
556279,DL14 8AW,\N,None,\N,\N,\N,423411,531628,54.679172,-1.638443
556280,NE4 5AG,\N,None,\N,\N,\N,423411,564873,54.977919,-1.635766
556281,BH25 7NS,\N,None,\N,\N,\N,423412,93268,50.738555,-1.669587
556282,DE14 3TX,1384257,Low,Street to Parcels of land,22/12/2013,No,423412,321853,52.79374,-1.654245
556283,WF13 4HL,\N,None,\N,\N,\N,423412,422528,53.69867,-1.646878
556284,WF17 7AT,\N,None,\N,\N,\N,423412,423268,53.705321,-1.646822
556285,HG3 2JS,\N,None,\N,\N,\N,423412,457970,54.017211,-1.644188
556286,DL10 6LP,\N,None,\N,\N,\N,423412,509098,54.476704,-1.640214
556287,DL4 2LG,\N,None,\N,\N,\N,423412,525519,54.624274,-1.638914
556288,NE4 6PE,\N,None,\N,\N,\N,423412,564395,54.973624,-1.635789
556289,WF17 7SP,\N,None,\N,\N,\N,423413,424005,53.711945,-1.646752
556290,HG4 3ST,\N,None,\N,\N,\N,423413,473891,54.160299,-1.642947
556291,DH7 7DH,\N,None,\N,\N,\N,423413,543248,54.783594,-1.637482
556292,B77 5QB,\N,None,\N,\N,\N,423414,300227,52.599334,-1.655747
556293,DL4 2LQ,\N,None,\N,\N,\N,423414,525477,54.623896,-1.638887
556294,SP9 7JN,\N,None,\N,\N,\N,423415,149724,51.246213,-1.665922
556295,B77 3AN,\N,None,\N,\N,\N,423415,304561,52.638311,-1.655418
556296,NE4 6QD,\N,None,\N,\N,\N,423415,564338,54.973112,-1.635747
556297,NE4 5HR,\N,None,\N,\N,\N,423415,564555,54.975062,-1.635729
556298,SP9 7GT,\N,None,\N,\N,\N,423416,149159,51.241133,-1.665945
556299,HD8 9UH,\N,None,\N,\N,\N,423416,410759,53.592889,-1.647699
556300,DL4 2LL,\N,None,\N,\N,\N,423416,525423,54.623411,-1.63886
556301,NE65 9DA,\N,None,\N,\N,\N,423416,601844,55.310132,-1.632651
556302,BH25 7NJ,\N,None,\N,\N,\N,423417,93412,50.73985,-1.669507
556303,DE13 0PX,\N,None,\N,\N,\N,423417,324886,52.821004,-1.653954
556304,DE13 0AJ,\N,None,\N,\N,\N,423417,326139,52.832268,-1.653865
556305,WF13 4AB,\N,None,\N,\N,\N,423417,422914,53.702139,-1.646773
556306,WF17 7DW,\N,None,\N,\N,\N,423417,423613,53.708421,-1.646721
556307,WF17 8LW,\N,None,\N,\N,\N,423417,424914,53.720115,-1.646623
556308,WF17 9LX,\N,None,\N,\N,\N,423417,427281,53.741389,-1.646444
556309,LS18 5LR,\N,None,\N,\N,\N,423417,438221,53.839715,-1.645617
556310,DH2 1XF,\N,None,\N,\N,\N,423417,553142,54.872503,-1.636623
556311,NE4 5AW,\N,None,\N,\N,\N,423417,564766,54.976958,-1.635681
556312,SP9 7LH,\N,None,\N,\N,\N,423418,149289,51.242301,-1.665908
556313,SN6 8BH,\N,None,\N,\N,\N,423418,189267,51.601761,-1.663278
556314,DE14 3DP,1384257,Low,Street to Parcels of land,22/12/2013,No,423418,321129,52.787231,-1.654207
556315,HD8 9DT,\N,None,\N,\N,\N,423418,410441,53.590031,-1.647693
556316,DH7 6SX,\N,None,\N,\N,\N,423418,545494,54.803777,-1.637224
556317,NE4 6HF,\N,None,\N,\N,\N,423418,564140,54.971332,-1.635716
556318,NE13 7HW,\N,None,\N,\N,\N,423418,572368,55.045269,-1.635046
556319,B77 3AB,\N,None,\N,\N,\N,423419,304453,52.637323,-1.655375
556320,WF13 4LX,\N,None,\N,\N,\N,423419,422278,53.696422,-1.646791
556321,LS13 3JJ,\N,None,\N,\N,\N,423419,435064,53.811341,-1.645826
556322,HG3 3JB,\N,None,\N,\N,\N,423419,463552,54.067379,-1.643652
556323,DL14 8PS,\N,None,\N,\N,\N,423419,529980,54.664362,-1.638451
556324,NE13 7DW,\N,None,\N,\N,\N,423419,572893,55.049986,-1.634987
556325,BH25 5UN,\N,None,\N,\N,\N,423420,95236,50.756252,-1.669349
556326,DE14 3HN,1384257,Low,Street to Parcels of land,22/12/2013,No,423420,320990,52.785982,-1.654187
556327,BD11 1NQ,\N,None,\N,\N,\N,423420,429857,53.764541,-1.646205
556328,DH2 3LR,\N,None,\N,\N,\N,423420,552111,54.863239,-1.636659
556329,NE4 6NS,\N,None,\N,\N,\N,423420,564419,54.973839,-1.635662
556330,NE4 5EN,\N,None,\N,\N,\N,423420,564519,54.974738,-1.635654
556331,BH25 7LS,\N,None,\N,\N,\N,423421,93702,50.742458,-1.669432
556332,GL7 3JH,\N,None,\N,\N,\N,423421,203881,51.733156,-1.66226
556333,B78 2EU,\N,None,\N,\N,\N,423421,299259,52.590631,-1.655711
556334,WF13 3RX,\N,None,\N,\N,\N,423421,420700,53.682239,-1.646879
556335,NE3 4RR,\N,None,\N,\N,\N,423421,567579,55.002235,-1.63539
556336,SN6 8AY,\N,None,\N,\N,\N,423422,188739,51.597013,-1.663256
556337,DE13 0PL,\N,None,\N,\N,\N,423422,324998,52.822011,-1.653872
556338,HD8 9EF,\N,None,\N,\N,\N,423422,410927,53.594399,-1.647596
556339,WF17 8HN,\N,None,\N,\N,\N,423422,425010,53.720977,-1.64654
